featureId,featurename,project,category,sub_category,data_type,description,status,source,owner
2051,SdCardMaskAutosDismissButtonClick7dWStatSum,WPO,wpo_cfmask,SdCardMask,double,,active,WPOFeatureLoadAPI.view,
2052,SdCardMaskAutosDismissButtonClick30dWStatSum,WPO,wpo_cfmask,SdCardMask,double,,active,WPOFeatureLoadAPI.view,
2054,SdCardMaskLocalNewsCrslNoButtonClick7dWStatSum,WPO,wpo_cfmask,SdCardMask,double,,active,WPOFeatureLoadAPI.view,
2055,SdCardMaskAutosNoButtonClick7dWStatSum,WPO,wpo_cfmask,SdCardMask,double,,active,WPOFeatureLoadAPI.view,
2058,SdCardMaskNtpTopStoriesDismissButtonClick7dWStatSum,WPO,wpo_cfmask,SdCardMask,double,,active,WPOFeatureLoadAPI.view,
2060,SdCardMaskNtpTopStoriesYesButtonClick7dWStatSum,WPO,wpo_cfmask,SdCardMask,double,,active,WPOFeatureLoadAPI.view,
2061,SdCardMaskNtpTopStoriesYesButtonClick30dWStatSum,WPO,wpo_cfmask,SdCardMask,double,,active,WPOFeatureLoadAPI.view,
2062,SdCardMaskNtpTopStoriesViewCount30dWStatSum,WPO,wpo_cfmask,SdCardMask,double,,active,WPOFeatureLoadAPI.view,
2063,SdCardMaskNtpTopStoriesNoButtonClick30dWStatSum,WPO,wpo_cfmask,SdCardMask,double,,active,WPOFeatureLoadAPI.view,
2064,SdCardMaskNtpTopStoriesDismissButtonClick30dWStatSum,WPO,wpo_cfmask,SdCardMask,double,,active,WPOFeatureLoadAPI.view,
2065,SdCardMaskNtpTopStoriesViewCount7dWStatSum,WPO,wpo_cfmask,SdCardMask,double,,active,WPOFeatureLoadAPI.view,
2066,SdCardMaskNtpTopStoriesNoButtonClick7dWStatSum,WPO,wpo_cfmask,SdCardMask,double,,active,WPOFeatureLoadAPI.view,
2070,TrafficCardNavClicks30dWStatSum,WPO,wpo_sdcard,TrafficCard,double,,active,WPOFeatureLoadAPI.view,
2071,TravelCardViewCount30dWStatSum,WPO,wpo_sdcard,TravelCard,double,,active,WPOFeatureLoadAPI.view,
2072,AutosCardNonNavClicks30dWStatCount,WPO,wpo_sdcard,AutosCard,double,,active,WPOFeatureLoadAPI.view,
2073,PrayerTimesCard30dWStatNavCTR,WPO,wpo_sdcard,PrayerTimesCard,double,,active,WPOFeatureLoadAPI.view,
2074,ShopCardNonNavClicks30dWStatCount,WPO,wpo_sdcard,ShopCard,double,,active,WPOFeatureLoadAPI.view,
2075,TrendingNowCardViewCount30dWStatCount,WPO,wpo_sdcard,TrendingNowCard,double,,active,WPOFeatureLoadAPI.view,
2076,CompanyNewsCardViewCount7dWStatCount,WPO,wpo_sdcard,CompanyNewsCard,double,,active,WPOFeatureLoadAPI.view,
2077,WeatherCardViewCount30dWStatSum,WPO,wpo_sdcard,WeatherCard,double,,active,WPOFeatureLoadAPI.view,
